inconsciente	a 1.0 7.375
pinnaticompuesta	n 0.0 0.0
despertador	n 0.375 0.25
pesticida	n 0.125 0.25
kauai	n 0.0 0.0
cooperacion	n 0.375 0.0
barometro	n 0.25 0.125
varec	n 0.0 0.375
bricbarca	n 1.0 0.0
disputa	n 0.5 3.25
multa	n 0.375 0.375
microtus	n 0.0 0.0
garza	n 0.375 0.0
tesalonica	n 0.0 0.0
fijeza	n 0.75 1.25
bakelita	n 0.0 0.125
tonel	n 0.125 0.375
precognicion	n 0.0 0.0
elogio	n 3.375 0.0
peque�in	n 0.125 1.75
pobreton	n 0.0 1.25
mica	n 0.25 0.0
cu�o	n 0.0 1.0
bofeton	n 0.0 1.0
limonero	n 0.0 0.25
perenne	n 0.0 0.0
largometraje	n 0.0 0.875
transmisor	n 0.5 0.0
secuencial	n 0.0 0.0
follador	n 0.0 1.0
exprimidor	n 0.25 0.0
unitarismo	n 0.375 0.125
uni	n 0.25 0.0
metedor	n 0.0 0.75
water	n 2.875 1.875
hiel	n 0.5 0.375
ondulatoria	n 0.0 0.0
fluorocromo	n 0.125 0.5
tremor	n 0.0 1.125
peluquero	n 0.25 0.0
acne	n 0.0 0.625
decasilabo	n 0.0 0.0
academia	n 0.125 0.0
espeleologo	n 0.625 0.75
mobula	n 0.0 0.25
peuco	n 0.0 0.25
ensiforme	n 0.0 0.0
curva	n 0.25 0.375
amazona	n 0.375 0.0
suela	n 0.125 0.625
campanilla	n 0.625 2.125
chaquetero	n 0.0 0.625
cardenillo	n 0.0 0.125
supresivo	n 0.0 0.0
adlumia	n 0.0 0.0
lysiloma	n 0.0 0.0
lepisosteus	n 0.0 0.0
gaznapiro	n 0.0 1.25
gualdrapa	n 1.0 0.0
pandanales	n 0.0 0.0
beneficiario	n 0.0 0.75
fallecido	n 0.0 1.125
arrendajo	n 0.944 0.681
sanguinea	n 0.0 0.0
cerco	n 0.0 0.0
desayuno	n 0.25 0.0
cavernicola	n 0.0 0.875
zaratustra	n 0.0 0.0
rapacidad	n 0.75 1.0
p	n 0.375 0.25
materialismo	n 0.625 0.25
lombrices	n 0.0 0.0
fonologia	n 1.0 0.0
planchada	n 0.0 0.0
modificador	n 0.0 0.25
sima	n 0.125 0.0
isobutileno	n 0.0 0.0
ucrania	n 0.0 0.0
antepecho	n 0.0 1.0
tarea	n 1.625 1.75
complicidad	n 0.0 0.5
phylloxera	n 0.0 0.0
antiperspirante	n 0.375 0.0
no-euclideana	n 0.0 0.0
filatelia	n 0.25 0.0
percepcion	n 1.0 1.0
sintetismo	n 0.375 0.0
cowboy	n 1.5 0.5
dato	n 0.25 0.0
himen	n 0.0 0.0
remedio	n 0.125 1.25
proclama	n 0.875 1.125
largo	n 0.125 0.0
washingtoniano	n 0.0 0.0
calzado	n 0.25 0.25
canje	n 0.125 0.375
patilla	n 0.0 0.5
88	n 0.0 0.0
forastero	n 0.0 2.875
informador	n 0.125 0.875
fisga	n 0.0 0.75
plaguicida	n 0.125 0.25
presteza	n 0.75 0.0
aguatinta	n 0.0 0.0
alegacion	n 1.0 0.0
mesua	n 0.0 0.0
lastre	n 0.125 0.0
boreal	n 0.0 0.0
ardea	n 0.0 0.0
faringe	n 0.25 1.375
ro�oseria	n 0.125 0.125
cesped	n 0.75 0.25
linchamiento	n 0.0 0.125
tincion	n 0.125 0.0
hospedaje	n 0.625 0.0
desproporcion	n 0.25 0.0
biogenesis	n 0.0 0.0
monadica	n 0.0 0.0
lamarquismo	n 0.0 0.0
espaldar	n 0.0 0.0
chrysobalanus	n 0.0 0.0
respingo	n 0.0 0.75
manta	n 0.75 0.5
u�ero	n 0.0 0.875
coleccion	n 1.125 1.625
sellos	n 0.0 0.0
idololatria	n 0.25 1.25
pillo	n 0.75 7.625
telon	n 0.0 0.0
adecuacion	n 2.375 0.75
espermatida	n 0.0 0.125
zn	n 0.125 0.25
myxinikela	n 0.0 0.0
numeral	n 0.0 0.0
binario	n 0.0 0.0
aguazal	n 0.125 0.375
cristiandad	n 0.625 0.125
rumania	n 0.0 0.0
prado	n 1.0 0.125
depositaria	n 1.5 0.0
corcho	n 0.25 0.625
iluminada	n 0.0 0.0
titonidos	n 0.0 0.0
inexistencia	n 0.0 0.25
timonel	n 1.25 0.375
columbidos	n 0.0 0.0
praseodimio	n 0.125 0.25
picadura	n 0.375 0.875
enyesado	n 0.25 0.25
malm�	n 0.0 0.0
abuelita	n 1.0 1.125
caprimulgidos	n 0.0 0.0
rasuradora	n 0.125 0.0
ensamblaje	n 0.125 0.0
zancuda	n 0.0 0.0
debilucho	n 0.0 0.375
tasacion	n 1.75 0.0
arquitecto	n 0.625 0.125
grave	n 0.0 0.0
grajilla	n 0.375 0.125
tactico	n 0.125 0.0
streptosolen	n 0.0 0.0
plumier	n 0.0 0.0
primaria	n 0.0 0.0
recuerdo	n 2.0 0.5
hemosiderina	n 0.0 0.25
zapata	n 0.0 0.75
fisura	n 0.75 1.5
modales	n 0.125 1.0
cu�ado	n 0.0 0.0
patrullaje	n 0.125 0.0
rotula	n 1.875 0.375
autodominio	n 0.75 0.0
fagaceas	n 0.0 0.0
animalismo	n 0.5 1.0
pederasta	n 0.375 0.625
gresca	n 0.5 1.25
tictac	n 0.625 0.0
achoerodus	n 0.0 0.0
instauracion	n 2.625 0.125
suculencia	n 0.0 0.25
reactivo	n 0.375 0.25
rector	n 3.0 2.0
desembolso	n 1.125 0.375
entrevia	n 0.0 0.0
estandar	n 0.0 0.0
hacheta	n 0.0 1.125
sintonia	n 0.375 0.125
chapuzon	n 0.0 0.5
dendroica	n 0.0 0.0
empirismo	n 1.125 0.0
napoleon	n 0.0 0.25
visitas	n 0.0 0.125
funerala	n 0.0 0.0
ausentismo	n 0.125 0.0
florero	n 0.0 0.125
obstruccionista	n 0.5 1.0
tradicionalista	n 0.0 1.125
boraginaceas	n 0.0 0.0
phalaenopsis	n 1.0 0.0
apuesta	n 1.625 0.75
cuadratura	n 0.0 0.0
moral	n 2.625 0.5
esferocarpales	n 0.0 0.0
dibranquiados	n 0.0 0.0
little	n 0.0 0.0
filicineos	n 0.0 0.0
anticoncepcionismo	n 0.125 0.0
anubis	n 0.0 0.0
argon	n 0.0 0.25
tupi	n 0.0 0.0
ta�edor	n 0.0 0.0
laud	n 0.75 0.0
colembolos	n 0.0 0.375
rypticus	n 0.0 0.0
preferencia	n 0.75 0.25
biorretroaccion	n 0.0 0.25
ludio	n 0.0 0.0
melastomataceas	n 0.0 0.0
cancun	n 0.0 0.0
cenaculo	n 0.0 1.25
carbohidrato	n 0.0 1.125
regleta	n 1.125 0.125
gelatina	n 0.5 0.0
ogro	n 1.332 2.293
coronal	n 0.0 0.0
ptosis	n 0.0 0.375
babel	n 0.0 0.125
lis	n 1.0 0.0
reforma	n 1.625 1.0
malasio	n 0.0 0.625
rupicapra	n 0.0 0.0
diametro	n 0.875 0.125
periferia	n 0.0 0.125
frita	n 0.0 0.0
harapo	n 0.625 0.0
emparedado	n 0.125 0.125
neuropteros	n 0.0 0.375
lavativa	n 0.0 0.5
jueves	n 0.5 0.875
vespino	n 0.0 0.25
solicitante	n 0.375 0.375
patrocinador	n 0.5 1.25
cuajo	n 0.0 0.375
fantasmagoria	n 0.25 1.0
anteportada	n 0.0 0.0
tremelales	n 0.0 0.25
muhlenbergia	n 0.125 0.0
megalitica	n 0.0 0.0
terpsicore	n 0.25 0.125
lolo-birmana	n 0.0 0.0
gateado	n 0.5 1.25
boy	n 0.0 0.0
scout	n 0.0 0.0
domestico	n 0.0 1.0
fisiologico	n 0.0 0.0
cerradura	n 0.375 0.125
ahijado	n 0.0 0.125
adiantaceas	n 0.0 0.0
usnea	n 0.0 0.0
bucinador	n 0.0 0.0
ricinus	n 0.0 0.0
communis	n 0.0 0.0
densificacion	n 0.375 1.5
candidiasis	n 0.0 0.75
carabina	n 0.0 0.375
pluralismo	n 0.375 0.125
vocabulario	n 0.375 0.0
laceracion	n 0.125 0.125
adorno	n 1.25 0.0
marsopa	n 0.0 0.375
eta	n 0.125 0.125
marques	n 0.25 0.0
encuestador	n 0.375 1.5
usurpador	n 0.125 1.5
infidencia	n 1.0 1.375
veza	n 0.0 0.375
�andu	n 0.0 0.25
antologista	n 0.0 0.125
monotremas	n 0.0 0.375
algodonosa	n 0.0 0.0
clitocybe	n 0.0 0.0
hotentote	n 0.0 0.0
salpinctes	n 0.0 0.0
triodo	n 0.25 0.0
defuncion	n 0.75 2.125
refineria	n 0.0 0.125
potamophis	n 0.0 0.0
chabolas	n 0.0 0.0
humorada	n 1.625 0.375
lanzacohetes	n 0.125 0.125
bigamo	n 0.25 0.0
limax	n 0.0 0.0
autocensura	n 0.0 0.0
sm	n 0.0 0.25
aventurera	n 0.5 0.125
piscolabis	n 0.375 0.125
mirada	n 1.125 0.0
morsa	n 0.25 0.0
avalancha	n 0.875 8.5
vivaque	n 0.125 0.875
pinzote	n 0.0 0.0
mamada	n 0.0 0.0
analogo	n 0.125 1.125
sirena	n 0.125 1.0
monaco	n 0.0 0.0
odontocetos	n 0.0 0.375
gnetaceas	n 0.0 0.0
inconsideracion	n 1.5 1.625
okapi	n 0.0 0.0
inercia	n 0.625 1.0
barbacoa	n 0.5 0.0
achuchon	n 0.375 0.0
pluralidad	n 0.0 0.25
cucurbitaceas	n 0.0 0.0
antioxidante	n 0.0 0.25
licencia	n 1.0 0.25
geodesia	n 0.0 0.25
guapeza	n 0.375 0.125
susceptibilidad	n 0.25 0.5
jacinto	n 0.25 0.0
compostela	n 0.0 0.0
peluquera	n 0.125 0.0
rubia	n 0.0 0.0
ocurrencia	n 3.0 0.25
camueso	n 0.0 0.5
tigre	n 0.125 0.0
cabrahigo	n 0.0 0.0
dobladura	n 0.75 0.0
veneciano	n 0.0 0.0
alejandrino	n 0.0 0.5
fototropismo	n 0.125 0.0
pronosticador	n 0.75 2.0
turco	n 0.0 0.0
prodigio	n 2.375 0.125
cojines	n 0.0 0.0
aspleniaceas	n 0.0 0.0
anexion	n 0.375 0.5
gro	n 0.25 0.375
borgo�ona	n 0.0 0.0
oval	n 0.0 0.0
rebanadora	n 0.125 0.0
perturbacion	n 0.625 4.125
efimeridad	n 0.375 0.375
munich	n 0.0 0.0
republicano	n 0.125 0.0
leone	n 0.0 0.0
blandengue	n 0.25 0.5
safena	n 0.0 0.0
gama	n 0.25 0.0
hipofosforico	n 0.0 0.0
estruendo	n 1.75 9.875
chlamydera	n 0.0 0.0
pudridero	n 0.0 0.25
fornicacion	n 0.25 0.375
shivaismo	n 0.75 0.0
colofonia	n 0.0 0.25
nymphicus	n 0.0 0.0
cortavientos	n 0.0 0.0
parochetus	n 0.0 0.0
quiasmo	n 0.75 0.0
vestigio	n 1.0 0.875
sigma	n 0.125 0.0
picasso	n 0.0 0.0
flash	n 2.25 0.0
capota	n 0.125 0.0
esplenica	n 0.0 0.0
anfibolos	n 0.0 0.0
zoroastro	n 0.0 0.0
podocarpaceas	n 0.0 0.0
insulina	n 0.125 0.0
tabernero	n 0.0 0.25
kamchatka	n 0.0 0.0
main	n 0.0 0.0
phragmipedium	n 0.125 0.0
subscriptor	n 0.25 0.0
cazo	n 0.0 0.125
recrudescencia	n 0.0 1.0
anagallis	n 0.0 0.0
glabrum	n 0.0 0.0
perihelio	n 0.0 0.375
saltaojos	n 0.0 0.25
chuchumeco	n 0.0 1.0
tate	n 0.0 3.125
clorofila	n 0.0 0.25
romadizo	n 0.0 0.125
menuridos	n 0.0 0.0
arapaho	n 0.0 0.0
clueca	n 0.0 0.5
deportivo	n 0.0 0.0
comodidad	n 3.25 1.25
subalterno	n 0.0 2.0
enanez	n 0.5 0.0
bizantino	n 0.0 0.0
tetraonidos	n 0.0 0.0
sublevacion	n 0.5 0.625
lapida	n 1.375 0.125
sepulcral	n 0.0 0.0
puma	n 0.875 0.125
bock	n 0.0 0.125
termita	n 0.0 0.125
sismologo	n 0.0 0.0
carduus	n 0.0 0.0
inconformista	n 0.75 0.0
disidente	n 0.375 1.0
camperas	n 0.0 0.0
abastecedor	n 0.5 0.25
estampilla	n 0.0 0.125
estilografica	n 0.0 0.0
burrhus	n 0.0 0.0
frederic	n 0.0 0.0
skinner	n 0.0 0.125
astrophyton	n 0.0 0.0
calce	n 0.0 1.0
llavin	n 0.625 0.0
eterna	n 0.0 0.0
sombrerito	n 0.0 0.5
remolcador	n 1.125 0.25
individual	n 0.0 0.0
cyanocitta	n 0.0 0.0
hipercapnia	n 0.25 0.25
original	n 1.25 0.0
suspensorio	n 1.125 0.5
parotida	n 0.0 0.0
binomial	n 0.0 0.0
sobrecoste	n 0.0 0.0
plenilunio	n 0.0 0.0
peinada	n 0.25 0.125
centrospermo	n 0.125 0.0
guardacabras	n 0.0 0.125
politiquero	n 0.125 0.0
oficinas	n 0.0 0.0
alfeizar	n 0.125 0.0
alighieri	n 0.0 0.0
compota	n 0.0 0.25
belemnitidos	n 0.0 0.125
ajuar	n 0.0 0.125
�toc,toc!	n 0.0 0.0
dorio	n 0.25 0.0
raposero	n 0.0 0.0
antrozous	n 0.0 0.0
ligamento	n 0.125 0.0
piscina	n 0.0 0.125
domingo	n 0.125 0.0
letargo	n 1.375 1.125
laca	n 0.625 0.375
japonesa	n 0.0 0.0
dinar	n 0.0 0.0
bahrayn	n 0.0 0.0
oraciones	n 0.0 0.0
stock-car	n 0.0 0.0
colorante	n 0.5 1.25
carangidos	n 0.0 0.0
poligloto	n 0.0 0.5
fotograbado	n 1.0 0.0
inquietud	n 2.625 12.0
einstenio	n 1.5 0.375
kahoolawe	n 0.0 0.0
tendal	n 0.375 0.0
cantarero	n 0.375 0.25
bodega	n 2.125 1.5
ampersand	n 0.5 0.0
areola	n 0.0 0.125
lamela	n 0.25 0.0
abreboca	n 0.5 0.25
chan	n 0.0 0.0
soponcio	n 0.0 3.0
bebop	n 0.125 0.375
desmitificacion	n 0.0 0.0
grafia	n 0.875 0.125
humildad	n 1.208 2.667
vinagrera	n 0.25 0.0
fusil	n 0.125 0.0
anoxia	n 0.0 0.75
anemica	n 0.0 0.0
crassula	n 0.0 0.0
postal	n 0.0 0.0
vicia	n 0.0 0.0
volatilidad	n 0.5 0.75
bomberos	n 0.0 0.5
diluvio	n 0.0 2.75
bisectriz	n 0.125 0.0
vulpes	n 0.0 0.0
nicosia	n 0.0 0.0
adjudicador	n 0.125 0.0
formulismo	n 0.0 0.0
barredura	n 1.0 0.0
tomento	n 0.125 0.75
dialectologia	n 0.0 0.0
ansiedad	n 0.25 2.375
bahrain	n 0.0 0.0
jicaro	n 0.0 0.625
notario	n 0.0 0.875
19	n 0.125 1.25
pleurotus	n 0.0 0.0
forsitia	n 0.0 0.25
helxine	n 0.0 0.0
destello	n 0.625 1.125
servilismo	n 1.625 0.0
print-out	n 0.125 0.375
orca	n 0.0 2.0
ignorante	n 0.0 0.625
montaje	n 0.875 0.875
auditor	n 0.0 0.375
seismo	n 0.0 2.0
carralero	n 0.125 0.0
eustaquio	n 0.0 0.0
helenica	n 0.0 0.0
phascogale	n 0.5 0.0
piscifactoria	n 0.125 0.5
poncirus	n 0.0 0.0
epidemico	n 0.0 0.0
philophylla	n 0.25 0.0
ponchera	n 0.0 0.0
chileno	n 0.0 0.0
gomero	n 0.0 0.0
sprinter	n 0.375 0.0
cepillo	n 0.0 0.625
gentes	n 0.0 0.0
pulpito	n 1.125 2.0
teniente	n 0.125 0.0
xerophyllum	n 0.0 0.0
escuadra	n 0.125 0.0
oligoplites	n 0.0 0.0
licuacion	n 0.0 1.125
prosodia	n 0.75 0.375
atarazana	n 0.0 0.375
biopsia	n 0.0 0.0
andorrano	n 0.0 0.0
pervivencia	n 2.125 1.375
hervida	n 0.0 0.0
flete	n 1.0 3.125
marchas	n 0.0 0.0
oratoria	n 0.25 0.25
sanitario	n 1.0 0.0
bufonada	n 2.0 0.75
moto	n 0.25 0.25
decrescendo	n 0.25 0.75
empeine	n 0.0 0.125
incubacion	n 0.625 0.125
bayoneta	n 0.125 0.0
canberra	n 0.0 0.0
renegado	n 0.0 3.5
dormidera	n 0.125 0.5
nilo	n 0.0 0.0
planificador	n 0.625 0.375
lente	n 0.5 0.0
convexa	n 0.0 0.0
capuchina	n 0.0 0.125
aleurites	n 0.0 0.0
n'djamena	n 0.0 0.0
aprovisionamiento	n 0.125 0.375
calderero	n 0.0 0.375
centrocercus	n 0.0 0.25
tiamina	n 0.375 0.0
epilogo	n 0.25 1.0
quinquefoliada	n 0.0 0.0
cuarta	n 0.875 0.125
pinta	n 0.125 0.0
monocarril	n 0.125 0.0
ataguia	n 0.0 0.25
australiana	n 0.0 0.0
corydalis	n 0.125 0.5
camelus	n 0.0 0.0
pasiva	n 0.0 1.25
deficiente	n 0.0 0.0
alforfon	n 0.0 0.125
cuentista	n 0.0 0.75
tetina	n 1.5 0.75
pasteurizada	n 0.0 0.0
contrincante	n 0.5 0.625
escopolamina	n 0.25 1.0
ascophyllum	n 0.0 0.0
malvaviscus	n 0.0 0.0
secesionismo	n 0.5 0.125
pastas	n 0.0 0.25
arbutus	n 0.0 0.0
unedo	n 0.0 0.0
homona	n 0.0 0.0
rigorista	n 0.0 0.0
lyrurus	n 0.0 0.0
retroproyector	n 0.0 0.0
mecanizada	n 0.0 0.0
ingenuo	n 0.625 0.0
astil	n 0.0 0.125
fouquieria	n 0.0 0.0
aritmetico	n 0.0 0.125
mictofidos	n 0.0 0.0
manubrio	n 0.25 0.625
pasifloraceas	n 0.0 0.0
calafateador	n 0.25 0.0
indagacion	n 0.125 0.25
furor	n 1.375 2.5
fiat	n 0.5 1.0
aerobiosis	n 0.0 0.125
soleria	n 0.25 0.875
artocarpus	n 0.0 0.0
diferencia	n 0.25 1.125
teucrium	n 0.0 0.0
escalador	n 0.5 0.25
atopia	n 0.0 0.0
chisporroteo	n 0.125 1.25
alnus	n 0.0 0.0
picus	n 0.0 0.125
otaridos	n 0.0 0.0
cuadratica	n 0.0 0.0
himenio	n 0.125 0.0
inspectores	n 0.0 0.0
biter	n 0.25 0.0
liron	n 0.125 0.25
kentucky	n 0.0 0.0
celacanto	n 0.0 0.0
genus-milvus	n 0.0 0.0
espesura	n 0.0 0.75
tahiti	n 0.0 0.0
flotilla	n 0.0 0.0
amigo	n 0.25 0.0
correspondencia	n 0.875 0.75
eclesiastica	n 0.0 0.0
inconveniente	n 0.375 3.0
coulis	n 0.125 0.25
insignias	n 0.0 0.25
almadia	n 0.25 0.125
cortesia	n 1.125 0.0
barredera	n 0.0 0.25
validez	n 2.375 2.0
foto	n 0.25 1.0
dialogo	n 0.75 0.0
52	n 0.0 0.0
arganeo	n 0.125 1.25
giganta	n 0.0 0.75
hiperadrenocorticalismo	n 0.0 0.625
defensiva	n 0.5 0.0
osteoartritis	n 0.0 0.375
artesonado	n 0.375 0.125
spermophilus	n 0.0 0.0
cervato	n 0.125 0.0
oestrus	n 0.0 0.125
poliamida	n 0.125 0.0
grus	n 0.0 0.0
tercios	n 0.0 0.0
anglofobia	n 0.125 0.625
preciosa	n 0.0 0.0
rayido	n 0.75 0.125
acondicionador	n 0.0 0.0
hermano	n 0.375 0.375
dromedario	n 0.0 0.0
copiloto	n 0.0 0.125
oxigenada	n 0.0 0.0
butaca	n 0.0 0.375
derramamiento	n 0.0 0.0
cointreau	n 0.0 0.0
masturbacion	n 0.25 0.0
jabega	n 0.25 0.0
termoionica	n 0.0 0.0
macizo	n 0.125 0.0
acetileno	n 0.0 0.75
sordera	n 0.5 0.25
protium	n 0.0 0.0
voladora	n 0.0 0.0
americana	n 0.0 0.0
tercio	n 0.25 0.0
sirvienta	n 0.0 0.0
hilidos	n 0.0 0.0
marne	n 0.0 0.0
gimnospermo	n 0.0 0.0
catartido	n 0.0 0.125
chapuceria	n 0.5 2.25
dari	n 0.0 0.0
persa	n 0.0 0.625
aeronavegabilidad	n 0.625 0.0
rebuzno	n 0.125 0.125
tudor	n 0.0 0.625
alergista	n 0.0 0.125
transicion	n 1.125 0.0
cronista	n 0.0 0.0
sciurus	n 0.0 0.125
a�il	n 0.75 1.125
devoto	n 1.375 1.875
mod	n 0.25 0.0
viajes	n 0.0 0.0
epifania	n 0.5 0.0
balsero	n 0.125 1.125
bufe	n 0.25 0.25
maquis	n 0.0 0.0
palizada	n 0.125 0.0
escaparate	n 0.375 0.375
cachito	n 0.0 0.0
jugueteria	n 0.25 0.0
textos	n 0.0 0.0
patriarcado	n 0.125 1.0
excavador	n 1.0 0.0
ctenoforos	n 0.0 0.0
gel	n 0.125 0.0
silice	n 0.5 0.375
caballito	n 1.0 1.0
neerlandes	n 0.0 0.0
enjambre	n 0.0 2.0
absceso	n 0.25 0.25
tradicional	n 0.0 0.0
oreamnos	n 0.0 0.0
aprocrina	n 0.0 0.0
eriophyllum	n 0.0 0.0
anser	n 0.0 0.125
extraordinario	n 0.0 0.0
desenlace	n 0.25 0.125
hechizo	n 6.375 1.75
asma	n 0.125 0.5
charlottetown	n 0.0 0.0
indonesia	n 0.0 0.0
exoftalmia	n 0.0 0.25
forte	n 0.25 0.0
penni	n 0.0 0.0
pobeda	n 0.0 0.0
capillero	n 0.375 0.0
spinacia	n 0.0 0.0
prole	n 0.0 1.0
ditiscidos	n 0.0 0.0
colonialista	n 0.0 1.0
variz	n 0.0 0.0
acuanauta	n 0.0 0.0
xylocopa	n 0.0 0.0
octopodo	n 0.125 0.25
matasellado	n 0.0 0.25
libia	n 0.0 0.0
tortillera	n 0.0 0.5
trastrocamiento	n 0.0 0.0
elettaria	n 0.125 0.0
lucion	n 0.75 0.0
terminio	n 0.75 0.0
traguito	n 0.0 0.5
hemostato	n 0.0 0.25
burladero	n 0.0 0.0
eslalon	n 0.0 1.125
cuaquerismo	n 0.0 0.125
prodromo	n 0.0 1.125
galeon	n 0.0 0.375
relax	n 1.25 0.75
casta�uelas	n 0.5 0.0
polivinilo	n 0.0 0.0
estructuralismo	n 0.125 0.375
detonador	n 0.0 0.375
sudafrica	n 0.0 0.0
celosia	n 0.125 0.25
tachyglossus	n 0.0 0.0
reflexivo	n 0.0 0.0
regosto	n 0.625 0.75
bioluminescencia	n 0.0 0.125
plural	n 0.0 1.0
promulgacion	n 0.125 1.125
gerres	n 0.0 0.0
barredero	n 0.0 0.0
satiriasis	n 0.375 0.25
montgomery	n 0.0 0.0
despoblacion	n 0.125 0.0
majada	n 0.375 0.25
existencialismo	n 0.375 0.0
pseudoescorpion	n 0.0 0.25
opera	n 0.0 0.125
casuarius	n 0.0 0.0
ebanisteria	n 0.875 0.0
cogotazo	n 0.0 0.0
alcalde	n 0.125 0.125
argirosa	n 0.125 0.0
adormidera	n 0.125 0.5
padres	n 0.0 0.375
paleoetnografia	n 0.0 0.25
porcelana	n 0.75 0.0
delft	n 0.0 0.0
hominidos	n 0.0 0.0
retorcimiento	n 0.375 0.5
centripeta	n 0.0 0.0
lunfardo	n 1.75 0.875
pluton	n 0.0 0.0
carricuba	n 0.0 0.0
cistothorus	n 0.0 0.0
dominico	n 0.0 0.0
llovizna	n 0.0 0.0
laparotomia	n 0.0 0.25
pigmeo	n 0.0 0.375
bryum	n 0.0 0.0
euforbiaceas	n 0.0 0.0
espinazo	n 1.25 1.25
disfraces	n 0.0 0.0
diomedeidos	n 0.0 0.0
dardanelos	n 0.0 0.0
esquivez	n 0.125 0.75
aplicacion	n 1.625 0.25
practica	n 0.5 0.875
nonagenario	n 0.25 0.0
cetaceo	n 0.125 0.125
rizada	n 0.0 0.0
asphodelus	n 0.0 0.0
vestibular	n 0.0 0.0
boletus	n 0.0 0.0
anagogia	n 0.125 0.0
sarcophilus	n 0.0 0.25
samarcanda	n 0.0 0.0
arnoseris	n 0.125 0.0
compadre	n 0.0 0.5
anguila	n 0.0 0.0
palito	n 0.0 0.0
ficocianina	n 0.0 0.125
andito	n 0.25 0.125
caricaturista	n 0.375 0.0
neguev	n 0.0 0.0
itinerante	n 0.0 0.5
squatina	n 0.0 0.0
cta	n 0.0 0.0
cte	n 0.0 0.0
fusanus	n 0.0 0.0
potentilla	n 0.0 0.0
patin	n 0.25 0.0
lingua	n 0.0 0.0
franca	n 0.0 0.0
noria	n 0.25 0.0
lepidothamnus	n 0.0 0.0
calocedrus	n 0.0 0.0
acadia	n 0.0 0.0
enmadrada	n 0.0 0.0
granico	n 0.0 0.0
sepalo	n 0.0 0.0
pilotaje	n 0.75 0.0
mu�equera	n 0.125 0.0
nageia	n 0.0 0.0
panonychus	n 0.0 0.0
cryptocercus	n 0.0 0.0
esporangio	n 0.125 0.0
versalita	n 0.0 0.0
primulales	n 0.0 0.0
aridos	n 0.0 0.0
drogadicto	n 0.0 0.625
parabola	n 0.625 0.0
equilibrio	n 0.875 1.0
rickettsiales	n 0.375 0.25
changtzu	n 0.0 0.0
auspicio	n 1.625 0.875
deposito	n 2.5 1.875
ramita	n 0.75 0.25
bocallave	n 0.0 1.0
conminacion	n 0.125 0.0
cynomys	n 0.0 0.0
pholas	n 0.0 0.0
sayornis	n 0.0 0.0
nummulitos	n 0.0 0.0
refrigerador	n 0.0 0.25
tornero	n 0.125 0.125
atemperacion	n 1.125 0.625
incauto	n 0.0 0.25
hipica	n 0.5 0.0
fajo	n 1.0 6.25
paella	n 0.0 0.125
dialisis	n 0.375 0.0
humphrey	n 0.0 0.0
oscilografo	n 0.0 0.0
anaforica	n 0.0 0.0
ohm	n 0.0 0.125
traduccion	n 1.375 0.25
automatica	n 0.5 0.0
descarga	n 0.625 1.0
destacamento	n 0.125 0.25
repelente	n 0.25 0.75
guia	n 2.125 0.5
telefonos	n 0.0 0.0
petalo	n 0.0 0.0
pithecolobium	n 0.0 0.0
ordenamiento	n 0.375 0.0
cursiva	n 0.5 0.5
batedor	n 0.0 0.875
individualizacion	n 0.875 0.375
chirrion	n 0.125 0.0
impago	n 0.125 0.875
megawatt	n 0.0 0.0
toxicomano	n 0.0 0.625
chulo	n 0.375 2.875
queensland	n 0.0 0.0
triops	n 0.0 0.0
turmalina	n 0.25 0.0
neurologia	n 0.5 0.0
malasia	n 0.0 0.0
dimero	n 0.0 1.0
mentzelia	n 0.0 0.25
sostenido	n 1.0 0.0
taoismo	n 0.25 0.25
k.k.k.	n 0.0 0.0
anabaptista	n 0.0 0.375
touchdown	n 0.0 0.125
cosmonave	n 0.375 0.5
proyectiles	n 0.0 0.0
germanica	n 0.0 0.0
luces	n 0.0 0.0
mhz	n 0.5 0.75
volvocaceas	n 0.5 0.0
temblor	n 1.125 3.125
funcionalismo	n 0.125 0.0
citoplasmatica	n 0.0 0.0
homografo	n 0.0 0.0
microbalanza	n 0.0 0.0
adultez	n 0.0 0.125
obligacionista	n 0.125 0.0
complementariedad	n 0.125 0.0
calystegia	n 0.0 0.0
abaca	n 0.0 0.125
cohibicion	n 0.25 0.25
granizada	n 0.0 0.125
show	n 0.0 0.0
business	n 0.0 0.0
envalentonamiento	n 2.0 1.5
lavanda	n 0.125 0.0
fraseologia	n 0.625 0.0
kilohertz	n 0.0 0.5
pipeta	n 0.0 0.375
gineolatria	n 1.0 0.0
cortavidrios	n 0.0 0.0
cenicero	n 0.25 0.0
bloody	n 0.0 0.0
mary	n 0.0 0.0
crisis	n 0.0 2.0
degenerado	n 0.5 0.0
exudado	n 0.0 1.125
apacheta	n 0.125 0.0
corsario	n 0.875 0.0
juntas	n 0.0 0.0
osteopatia	n 0.5 0.0
tswana	n 0.0 0.0
estiptico	n 0.125 0.125
gopherus	n 0.0 0.0
capilla	n 0.125 0.0
silabeo	n 0.375 0.0
ilang-ilang	n 0.0 0.0
crampon	n 1.125 0.0
picotada	n 0.0 0.625
cobalamina	n 0.0 0.5
thylogale	n 0.0 0.0
ensis	n 0.0 0.0
utopista	n 0.0 0.5
tbilisi	n 0.0 0.0
restauran	n 0.125 0.0
conciliador	n 0.5 0.75
